Shot_No,Net_X,Net_Y,Zone_X,Zone_Y
1,120,97,215,189
2,87,201,226,144
3,333,259,215,168
4,195,93,168,211
5,349,222,193,108
6,362,210,173,150
7,183,101,201,176
8,333,155,223,162
9,124,134,232,172
10,129,222,162,171
11,87,147,181,78
12,349,105,140,200
13,145,176,159,197
14,374,122,148,162
15,362,189,184,196
16,362,218,243,187
18,220,85,240,175
19,166,210,232,180
20,333,222,204,200
21,174,226,215,162
22,362,155,209,215
23,103,122,215,140
24,137,97,240,152
25,324,205,117,81
26,362,97,182,95
27,349,151,179,104
28,291,97,218,162
29,341,201,213,208
31,362,105,156,169
32,116,118,212,115
34,137,168,190,259
35,116,105,210,154
37,341,209,232,143
38,262,264,215,180
39,308,218,232,214
40,95,118,145,99
41,358,135,92,123
42,116,130,195,220
43,358,101,196,247
44,91,110,179,87
45,145,109,179,92
46,120,93,190,165
47,133,109,137,224
48,341,84,187,98
50,324,151,184,169
52,374,222,207,164
53,83,263,198,225
54,291,163,196,179
55,337,214,92,171
56,358,168,207,236
57,304,185,199,193
58,91,143,227,163
59,95,139,195,159
60,229,272,193,178
61,220,268,213,177
62,283,172,215,234
63,324,97,176,165
64,116,247,182,168
66,241,272,237,140
67,82,184,182,215
68,262,201,221,165
69,366,205,226,165
70,95,89,204,242
71,366,205,218,168
73,341,155,210,196
74,237,214,224,197
75,108,189,204,78
76,304,214,215,148
80,233,93,201,203
81,99,147,196,168
82,353,234,215,225
83,358,126,170,185
84,358,176,187,173
85,104,226,187,154
86,91,155,201,152
87,366,122,204,261
89,354,114,196,155
90,345,139,218,151
91,216,268,226,194
92,358,105,168,270
93,341,155,226,162
94,333,126,184,224
95,124,259,226,191
96,333,151,196,196
97,87,139,240,161
98,99,109,95,182
99,341,159,232,187
101,362,97,212,115
102,91,130,198,127
103,91,84,151,206
104,324,263,232,180
105,291,268,221,208
106,120,218,176,189
